Aktuellezeit,Ort,Beschreibung,Aktuelletemperatur

2020-10-17 18:27:32.695863,Salzburg,Überwiegend bewölkt,7.41°C
2020-10-17 18:28:32.885063,Salzburg,Überwiegend bewölkt,7.41°C
2020-10-17 18:32:52.093518,Salzburg,Überwiegend bewölkt,7.41°C
2020-10-17 18:33:52.188819,Salzburg,Überwiegend bewölkt,7.41°C
2020-10-17 18:34:52.357757,Salzburg,Überwiegend bewölkt,7.41°C
2020-10-17 18:35:52.499255,Salzburg,Überwiegend bewölkt,7.41°C
2020-10-17 18:36:52.617866,Salzburg,Überwiegend bewölkt,7.41°C
2020-10-17 18:37:52.741746,Salzburg,Überwiegend bewölkt,7.26°C
2020-10-17 20:29:52.519400,Salzburg,Überwiegend bewölkt,6.52°C
2020-10-17 20:30:34.889110,Salzburg,Überwiegend bewölkt,6.52°C
2020-10-17 20:30:43.063740,Salzburg,Überwiegend bewölkt,6.52°C
2020-10-17 20:30:51.203239,Salzburg,Überwiegend bewölkt,6.52°C
2020-10-17 20:30:59.336107,Salzburg,Überwiegend bewölkt,6.52°C
2020-10-17 20:32:48.654678,Salzburg,Überwiegend bewölkt,6.52°C
2020-10-17 20:33:48.749448,Salzburg,Überwiegend bewölkt,6.52°C
2020-10-17 20:34:48.854930,Salzburg,Überwiegend bewölkt,6.52°C
2020-10-17 20:35:48.961440,Salzburg,Überwiegend bewölkt,6.52°C
2020-10-17 20:36:49.055840,Salzburg,Überwiegend bewölkt,6.52°C
2020-10-17 20:37:49.148455,Salzburg,Überwiegend bewölkt,6.52°C
2020-10-18 20:20:17.305227,Salzburg,Überwiegend bewölkt,6.65°C
2020-10-18 20:21:17.449021,Madrid,Bedeckt,17.73°C
2020-10-18 20:22:17.613202,Salzburg,Überwiegend bewölkt,6.65°C
2020-10-18 20:23:17.736636,Madrid,Bedeckt,17.73°C
2020-10-19 09:47:12.099617,Salzburg,Mäßig bewölkt,6.11°C
2020-10-19 09:48:12.183160,Madrid,Überwiegend bewölkt,10.84°C
2020-10-19 09:49:12.261183,Salzburg,Mäßig bewölkt,6.11°C
2020-10-19 09:50:12.344229,Madrid,Überwiegend bewölkt,10.84°C
2020-10-19 09:51:12.433618,Salzburg,Mäßig bewölkt,6.11°C
2020-10-19 09:52:12.519263,Madrid,Überwiegend bewölkt,10.84°C
2020-10-19 09:53:12.600479,Salzburg,Mäßig bewölkt,6.11°C
2020-10-19 09:54:12.682925,Madrid,Überwiegend bewölkt,10.84°C
2020-10-19 09:55:12.761468,Salzburg,Mäßig bewölkt,6.11°C
2020-10-19 09:56:12.850211,Madrid,Überwiegend bewölkt,10.84°C
2020-10-19 09:57:12.929142,Salzburg,Überwiegend bewölkt,6.45°C
2020-10-19 09:58:13.011217,Madrid,Überwiegend bewölkt,10.84°C
2020-10-19 09:59:13.096058,Salzburg,Überwiegend bewölkt,6.45°C
2020-10-19 10:00:13.777846,Madrid,Überwiegend bewölkt,11.25°C
2020-10-19 10:01:13.896355,Salzburg,Überwiegend bewölkt,6.45°C
2020-10-19 10:02:13.989875,Madrid,Überwiegend bewölkt,11.25°C
2020-10-19 10:03:14.068995,Salzburg,Überwiegend bewölkt,6.45°C
2020-10-19 10:04:14.158029,Madrid,Überwiegend bewölkt,11.25°C
2020-10-19 10:05:14.243739,Salzburg,Überwiegend bewölkt,6.45°C
2020-10-19 10:06:14.322086,Madrid,Überwiegend bewölkt,11.25°C
2020-10-19 10:07:14.418959,Salzburg,Überwiegend bewölkt,6.76°C
2020-10-19 10:08:14.509618,Madrid,Überwiegend bewölkt,11.25°C
2020-10-19 10:09:14.615438,Salzburg,Überwiegend bewölkt,6.76°C
2020-10-19 10:10:14.719143,Madrid,Überwiegend bewölkt,11.24°C
2020-10-19 10:11:14.808680,Salzburg,Überwiegend bewölkt,6.76°C
2020-10-19 10:12:14.990822,Madrid,Überwiegend bewölkt,11.24°C
2020-10-19 10:13:15.075553,Salzburg,Überwiegend bewölkt,6.76°C
2020-10-19 10:14:15.165257,Madrid,Überwiegend bewölkt,11.24°C
2020-10-19 10:15:15.263918,Salzburg,Überwiegend bewölkt,6.76°C
2020-10-19 10:16:15.347072,Madrid,Überwiegend bewölkt,11.24°C
2020-10-19 10:17:15.427234,Salzburg,Überwiegend bewölkt,6.76°C
2020-10-19 10:18:15.520977,Madrid,Überwiegend bewölkt,11.24°C
2020-10-19 10:19:15.617017,Salzburg,Überwiegend bewölkt,6.76°C
2020-10-19 10:20:15.710968,Madrid,Überwiegend bewölkt,12.15°C
2020-10-19 10:21:15.795343,Salzburg,Überwiegend bewölkt,6.76°C
2020-10-19 10:22:15.871242,Madrid,Überwiegend bewölkt,12.15°C
2020-10-19 10:23:15.996675,Salzburg,Überwiegend bewölkt,6.76°C
2020-10-19 10:24:16.159212,Madrid,Überwiegend bewölkt,12.15°C
2020-10-19 10:25:16.258035,Salzburg,Überwiegend bewölkt,6.76°C
2020-10-19 10:26:16.351686,Madrid,Überwiegend bewölkt,12.24°C
2020-10-19 10:27:16.455122,Salzburg,Überwiegend bewölkt,7.03°C
2020-10-19 10:28:16.539234,Madrid,Überwiegend bewölkt,12.24°C
2020-10-19 10:29:16.619639,Salzburg,Überwiegend bewölkt,7.03°C
2020-10-19 10:30:16.713329,Madrid,Überwiegend bewölkt,12.24°C
2020-10-19 10:31:16.821977,Salzburg,Überwiegend bewölkt,7.03°C
2020-10-19 10:32:16.910491,Madrid,Überwiegend bewölkt,12.24°C
2020-10-19 10:33:17.005657,Salzburg,Überwiegend bewölkt,7.03°C
2020-10-19 10:34:17.122189,Madrid,Überwiegend bewölkt,12.24°C
2020-10-19 10:35:17.203266,Salzburg,Überwiegend bewölkt,7.03°C
2020-10-19 10:36:17.291863,Madrid,Überwiegend bewölkt,12.57°C
2020-10-19 10:37:17.390507,Salzburg,Überwiegend bewölkt,7.93°C
2020-10-19 10:38:17.484266,Madrid,Überwiegend bewölkt,12.57°C
2020-10-19 10:39:17.575216,Salzburg,Überwiegend bewölkt,7.93°C
2020-10-19 10:40:17.657293,Madrid,Überwiegend bewölkt,12.57°C
2020-10-19 10:41:17.742091,Salzburg,Überwiegend bewölkt,7.93°C
2020-10-19 10:42:17.833767,Madrid,Überwiegend bewölkt,12.57°C
2020-10-19 10:43:17.917323,Salzburg,Überwiegend bewölkt,7.93°C
2020-10-19 10:44:18.025739,Madrid,Überwiegend bewölkt,12.57°C
2020-10-19 10:45:18.110995,Salzburg,Überwiegend bewölkt,7.93°C
